time (ms)	x_pos(mm)	signal	error	trash	trash2
690 	-6.01245358E-1	1.56285197E+0	1.84506258E-1	NaN	0.00000000E+0
690 	-1.47870005E-1	1.32310396E+1	6.50524153E-1	NaN	0.00000000E+0
690 	1.05322692E+0	1.19259888E-1	6.49078224E-2	NaN	0.00000000E+0
850 	9.02566210E-1	3.94442333E-1	9.63982706E-2	NaN	0.00000000E+0
850 	-2.79000000E-3	1.28627369E+1	1.09746830E+0	NaN	0.00000000E+0
850 	6.01245358E-1	2.54309260E+0	4.20292689E-1	NaN	0.00000000E+0
850 	-1.53450006E-1	1.10583838E+1	6.07528503E-1	NaN	0.00000000E+0
850 	-4.51980152E-1	3.39140319E+0	5.92226812E-1	NaN	0.00000000E+0
850 	-7.51905700E-1	7.10652574E-1	2.13430354E-1	NaN	0.00000000E+0
850 	1.53450006E-1	1.36072961E+1	1.34692562E+0	NaN	0.00000000E+0
850 	4.53375153E-1	5.46751991E+0	1.13702429E+0	NaN	0.00000000E+0
850 	2.97135043E-1	8.27286766E+0	1.30139270E+0	NaN	0.00000000E+0
850 	1.05183192E+0	1.18879324E-1	5.06146255E-2	NaN	0.00000000E+0
850 	7.49115692E-1	1.55702436E+0	5.66708102E-1	NaN	0.00000000E+0
850 	-9.02566210E-1	4.23041652E-1	1.55310386E-1	NaN	0.00000000E+0
850 	-1.05183192E+0	2.11520692E-1	6.05608237E-2	NaN	0.00000000E+0
850 	-2.98530044E-1	7.50444874E+0	7.07169378E-1	NaN	0.00000000E+0
850 	-6.01245358E-1	1.39922106E+0	6.76602421E-2	NaN	0.00000000E+0
990 	7.53300704E-1	3.99376035E-1	9.97508009E-2	NaN	0.00000000E+0
990 	-4.51980152E-1	4.02002323E-1	1.80264604E-1	NaN	0.00000000E+0
990 	-9.02566210E-1	4.82061019E-2	2.64827427E-2	NaN	0.00000000E+0
990 	9.02566210E-1	6.48467327E-2	4.06490735E-2	NaN	0.00000000E+0
990 	-7.51905700E-1	7.64793762E-2	1.96175537E-2	NaN	0.00000000E+0
990 	6.02640360E-1	9.42818271E-1	2.97900511E-1	NaN	0.00000000E+0
990 	4.47795148E-1	2.29784514E+0	4.63318722E-1	NaN	0.00000000E+0
990 	-2.79000000E-3	3.15044869E+0	1.44708804E+0	NaN	0.00000000E+0
990 	1.52055006E-1	4.13627347E+0	1.17286655E+0	NaN	0.00000000E+0
990 	-1.52055006E-1	3.25923182E+0	4.61047020E-1	NaN	0.00000000E+0
990 	-1.05183192E+0	4.18167956E-2	2.16071459E-2	NaN	0.00000000E+0
990 	-5.97060350E-1	2.24880935E-1	1.46551274E-1	NaN	0.00000000E+0
990 	-2.98530044E-1	1.67296178E+0	5.87411002E-1	NaN	0.00000000E+0
990 	3.02715046E-1	4.73201627E+0	4.78006583E-1	NaN	0.00000000E+0
